SKU,Unit_Cost,Annual_Demand,Lead_Time_Days,Current_Stock
SKU_001,190.4,7442,21,1281.0
SKU_002,475.6,6578,14,1398.0
SKU_003,367.34,5299,14,940.0
SKU_004,301.34,5222,14,442.0
SKU_005,82.23,1757,7,173.0
SKU_006,82.22,5841,7,505.0
SKU_007,33.75,9975,7,1200.0
SKU_008,433.76,5585,21,278.0
SKU_009,302.55,4981,60,849.0
SKU_010,355.5,3560,45,398.0
SKU_011,15.19,252,14,45.0
SKU_012,485.11,4268,14,521.0
SKU_013,417.06,9008,21,1654.0
SKU_014,110.11,4439,14,500.0
SKU_015,95.0,2377,7,228.0
SKU_016,95.79,8054,45,1168.0
SKU_017,155.6,2981,30,555.0
SKU_018,264.75,7827,14,894.0
SKU_019,218.81,247,7,58.0
SKU_020,149.16,7175,30,358.0
SKU_021,307.87,1980,45,255.0
SKU_022,74.05,6337,30,1541.0
SKU_023,149.61,8850,7,1379.0
SKU_024,186.35,9389,60,1220.0
SKU_025,230.75,4332,60,694.0
SKU_026,393.66,2561,30,414.0
SKU_027,103.84,709,21,138.0
SKU_028,259.55,2861,30,195.0
SKU_029,298.25,7148,14,670.0
SKU_030,27.99,6596,14,1073.0
SKU_031,305.73,9611,60,2137.0
SKU_032,89.41,2036,21,323.0
SKU_033,37.2,8388,7,766.0
SKU_034,474.7,2961,14,543.0
SKU_035,482.99,1784,60,349.0
SKU_036,405.16,1893,45,173.0
SKU_037,155.78,8730,60,1051.0
SKU_038,53.35,3026,14,463.0
SKU_039,343.7,2009,14,292.0
SKU_040,222.88,5809,60,714.0
SKU_041,65.41,6744,7,699.0
SKU_042,250.11,2435,30,152.0
SKU_043,22.02,4786,14,253.0
SKU_044,455.11,1852,60,447.0
SKU_045,133.1,8205,60,1790.0
SKU_046,332.95,8170,21,944.0
SKU_047,159.3,6666,30,1607.0
SKU_048,262.43,5584,45,1020.0
SKU_049,275.62,4111,7,585.0
SKU_050,96.5,312,45,45.0
SKU_051,484.94,6337,30,374.0
SKU_052,388.69,8865,30,539.0
SKU_053,470.05,9258,30,1548.0
SKU_054,447.94,2099,45,330.0
SKU_055,300.96,5473,30,471.0
SKU_056,461.33,4598,60,1098.0
SKU_057,48.8,3158,45,646.0
SKU_058,102.01,7208,30,471.0
SKU_059,27.39,7450,60,1755.0
SKU_060,166.04,3220,21,788.0
SKU_061,197.4,9924,30,2473.0
SKU_062,139.32,2305,45,123.0
SKU_063,415.23,1204,14,235.0
SKU_064,181.59,4549,30,707.0
SKU_065,144.06,6345,14,1197.0
SKU_066,273.63,6247,60,1521.0
SKU_067,74.76,9938,21,1839.0
SKU_068,402.09,1698,7,367.0
SKU_069,41.9,5589,21,1242.0
SKU_070,493.51,9687,30,2096.0
SKU_071,387.26,4249,14,554.0
SKU_072,103.36,8495,14,748.0
SKU_073,7.73,2607,45,324.0
SKU_074,408.65,5642,14,1283.0
SKU_075,354.89,148,45,11.0
SKU_076,365.86,2250,60,334.0
SKU_077,386.78,3011,7,272.0
SKU_078,41.65,5023,30,818.0
SKU_079,182.44,4483,45,993.0
SKU_080,62.36,2919,7,657.0
SKU_081,432.24,1006,14,92.0
SKU_082,313.53,8402,14,1939.0
SKU_083,168.79,5749,7,948.0
SKU_084,36.46,6994,14,802.0
SKU_085,158.94,4543,60,860.0
SKU_086,165.97,9542,60,1355.0
SKU_087,366.16,4961,7,597.0
SKU_088,320.59,4037,45,761.0
SKU_089,444.17,9769,45,913.0
SKU_090,238.75,6065,7,670.0
SKU_091,64.2,1268,45,168.0
SKU_092,358.06,4546,45,430.0
SKU_093,381.59,4785,60,603.0
SKU_094,282.83,4605,45,740.0
SKU_095,386.63,9196,21,1803.0
SKU_096,249.43,8100,30,1632.0
SKU_097,263.75,3496,14,745.0
SKU_098,216.63,1095,21,215.0
SKU_099,17.58,6943,45,1274.0
SKU_100,58.41,1743,60,159.0
SKU_101,20.56,3486,7,436.0
SKU_102,320.02,8804,45,1243.0
SKU_103,160.61,5945,60,350.0
SKU_104,256.74,3404,30,517.0
SKU_105,454.25,275,45,36.0
SKU_106,128.4,4943,7,1032.0
SKU_107,208.14,7072,60,1735.0
SKU_108,379.0,9201,60,1449.0
SKU_109,118.26,5650,60,615.0
SKU_110,43.11,8046,30,408.0
SKU_111,148.43,9057,45,2122.0
SKU_112,84.8,7733,30,1803.0
SKU_113,465.2,4692,14,443.0
SKU_114,405.02,7729,14,1442.0
SKU_115,318.53,8258,45,474.0
SKU_116,436.37,7389,30,564.0
SKU_117,402.82,9485,7,824.0
SKU_118,97.35,2255,60,232.0
SKU_119,446.82,1119,60,279.0
SKU_120,271.97,3494,45,653.0
SKU_121,404.68,1110,14,135.0
SKU_122,448.57,2377,14,464.0
SKU_123,162.41,3470,60,806.0
SKU_124,59.48,351,45,85.0
SKU_125,117.83,656,30,35.0
SKU_126,216.42,3220,14,399.0
SKU_127,409.92,749,30,48.0
SKU_128,431.06,5138,14,573.0
SKU_129,8.44,9381,14,722.0
SKU_130,257.82,240,21,42.0
SKU_131,211.62,1030,14,126.0
SKU_132,114.94,3025,7,271.0
SKU_133,64.33,6152,45,597.0
SKU_134,172.12,1234,45,144.0
SKU_135,471.74,3377,30,324.0
SKU_136,164.99,3444,14,469.0
SKU_137,261.8,8369,7,405.0
SKU_138,352.99,1866,30,187.0
SKU_139,185.0,5904,21,752.0
SKU_140,486.03,6759,30,1130.0
SKU_141,481.41,619,30,61.0
SKU_142,129.63,5492,14,381.0
SKU_143,251.14,1945,21,112.0
SKU_144,153.93,2783,30,661.0
SKU_145,146.0,3913,7,503.0
SKU_146,23.26,7505,7,1221.0
SKU_147,306.73,4064,45,948.0
SKU_148,253.83,1736,21,102.0
SKU_149,30.48,3059,21,686.0
SKU_150,142.93,7856,45,1230.0
